nb_backup,nb_step
534,999
731,999
792,999
1137,999
1565,999
1879,999
1963,999
2129,999
2161,999
2312,999
2341,999
2381,999
2448,999
2564,999
2594,999
2651,999
2680,999
2754,14
2789,14
2831,14
2864,14
2919,14
2966,14
2997,14
3022,14
3057,14
3084,14
3116,14
3140,14
3163,14
3252,14
3284,14
3326,14
3350,14
3382,14
3418,14
3435,14
3457,14
3504,14
3577,14
3603,14
3643,14
3688,14
3722,14
3747,14
3795,14
3828,14
3871,14
3902,14
3972,14
4006,14
4035,14
4065,14
4095,14
4130,14
4163,14
4198,14
4237,14
4283,14
4307,14
4326,14
4366,14
4412,14
4437,14
4489,14
4527,14
4572,14
4610,14
4642,14
4677,14
4716,14
4746,14
4776,14
4805,14
4853,14
4881,14
4901,14
4924,14
4960,14
4989,14
5046,14
5076,14
5126,14
5184,14
5218,14
5241,14
5259,14
5296,14
5323,14
5343,14
5394,14
5419,14
5452,14
5487,14
5513,14
5536,14
5557,14
5604,14
5632,14
5653,14
5679,14
5726,14
5762,14
5784,14
5817,14
5849,14
5887,14
5917,14
5961,14
5989,14
6011,14
6059,14
6125,14
6182,14
6205,14
6261,14
6304,14
6325,14
6344,14
6386,14
6425,14
6448,14
6510,14
6535,14
6586,14
6621,14
6656,14
6732,14
6762,14
6808,14
6864,14
6888,14
6930,14
6957,14
6981,14
7016,14
7050,14
7089,14
7117,14
7161,14
7186,14
7224,14
7259,14
7282,14
7308,14
7352,14
7400,14
7463,14
7482,14
7518,14
7549,14
7577,14
7597,14
7629,14
7670,14
7711,14
7753,14
7777,14
7822,14
7859,14
7895,14
7928,14
7960,14
7987,14
8031,14
8058,14
8091,14
8127,14
8150,14
8184,14
8216,14
8251,14
8304,14
8342,14
8375,14
8412,14
8444,14
8487,14
8529,14
8555,14
8591,14
8627,14
8664,14
8711,14
8750,14
8775,14
8811,14
8843,14
8864,14
8901,14
8924,14
8952,14
8985,14
9029,14
9055,14
9104,14
9148,14
9182,14
9204,14
9244,14
9282,14
9321,14
9366,14
9419,14
9450,14
9487,14
9509,14
9536,14
9575,14
9618,14
9662,14
9700,14
9753,14
9791,14
9825,14
9868,14
9892,14
9936,14
9959,14
10008,14
10039,14
10072,14
10115,14
10144,14
10185,14
10231,14
10274,14
10314,14
10335,14
10356,14
10383,14
10407,14
10431,14
10449,14
10484,14
10515,14
10542,14
10562,14
10614,14
10657,14
10706,14
10735,14
10781,14
10815,14
10844,14
10903,14
10921,14
10951,14
11018,14
11042,14
11067,14
11101,14
11123,14
11150,14
11184,14
11211,14
11244,14
11276,14
11318,14
11361,14
11382,14
11413,14
11458,14
11496,14
11531,14
11557,14
11580,14
11612,14
11650,14
11670,14
11691,14
11726,14
11760,14
11807,14
11830,14
11854,14
11889,14
11927,14
11950,14
11975,14
11992,14
12036,14
12055,14
12102,14
12138,14
12170,14
12211,14
12251,14
12285,14
12326,14
12380,14
12422,14
12459,14
12495,14
12535,14
12570,14
12607,14
12634,14
12669,14
12713,14
12741,14
12766,14
12793,14
12831,14
12862,14
12894,14
12916,14
12935,14
12952,14
12986,14
13020,14
13039,14
13065,14
13093,14
13127,14
13180,14
13221,14
13268,14
13299,14
13322,14
13351,14
13372,14
13403,14
13436,14
13509,14
13535,14
13556,14
13578,14
13615,14
13633,14
13670,14
13700,14
13727,14
13766,14
13792,14
13827,14
13852,14
13878,14
13925,14
13964,14
14006,14
14036,14
14070,14
14091,14
14117,14
14163,14
14202,14
14231,14
14264,14
14319,14
14360,14
14385,14
14421,14
14467,14
14499,14
14548,14
14605,14
14643,14
14722,14
14755,14
14780,14
14812,14
14860,14
14905,14
14926,14
14957,14
15018,14
15047,14
15076,14
15097,14
15120,14
15153,14
15188,14
15216,14
15238,14
15278,14
15316,14
15349,14
15384,14
15431,14
15470,14
15510,14
15531,14
15581,14
15617,14
15660,14
15701,14
15731,14
15759,14
15782,14
15802,14
15843,14
15863,14
15893,14
15946,14
15969,14
16036,14
16071,14
16098,14
16133,14
16160,14
16190,14
16213,14
16244,14
16271,14
16312,14
16343,14
16396,14
16435,14
16473,14
16494,14
16519,14
16541,14
16587,14
16626,14
16677,14
16715,14
16775,14
16808,14
16843,14
16877,14
16906,14
16942,14
16975,14
17041,14
17066,14
17087,14
17132,14
17157,14
17194,14
17251,14
17285,14
17326,14
17386,14
17419,14
